Change,Excluded,Name,Original,en,fr
,,,Fire Breath,Fire Breath,Fire Breath
,,,Inflicts Fire-type damage on all enemies.,Inflicts Fire-type damage on all enemies.,Inflicts Fire-type damage on all enemies.
,,,Ice Breath,Ice Breath,Ice Breath
,,,Inflicts Ice-type damage on all enemies.,Inflicts Ice-type damage on all enemies.,Inflicts Ice-type damage on all enemies.
,,,Earthquake,Earthquake,Earthquake
,,,%1 causes an Earthquake!,%1 causes an Earthquake!,%1 causes an Earthquake!
,,,Tsunami,Tsunami,Tsunami
,,,Inflicts Water-type damage on all enemies.,Inflicts Water-type damage on all enemies.,Inflicts Water-type damage on all enemies.
,,,%1 causes a Tsunami!,%1 causes a Tsunami!,%1 causes a Tsunami!
,,,Scratch,Scratch,Scratch
,,,Inflicts damage on an enemy.,Inflicts damage on an enemy.,Inflicts damage on an enemy.
,,,-----Basic Magic,-----Basic Magic,-----Basic Magic
,,,Heal I,Heal I,Heal I
,,,Restores an ally’s HP.,Restores an ally’s HP.,Restores an ally’s HP.
,,,%1 casts %2!,%1 casts %2!,%1 casts %2!
,,,Heal II,Heal II,Heal II
,,,Heal III,Heal III,Heal III
,,,Recover I,Recover I,Recover I
,,,Restores all allies’ HP.,Restores all allies’ HP.,Restores all allies’ HP.
,,,Recover II,Recover II,Recover II
,,,Recover III,Recover III,Recover III
,,,Cure I,Cure I,Cure I
,,,"Cures an ally’s Poison, Paralysis, or Sleep state.","Cures an ally’s Poison, Paralysis, or Sleep state.","Cures an ally’s Poison, Paralysis, or Sleep state."
,,,Cure II,Cure II,Cure II
,,,Cures an ally’s status ailments other than Dead.,Cures an ally’s status ailments other than Dead.,Cures an ally’s status ailments other than Dead.
,,,Cure III,Cure III,Cure III
,,,Cures all allies’ status ailments other than Dead.,Cures all allies’ status ailments other than Dead.,Cures all allies’ status ailments other than Dead.
,,,Raise I,Raise I,Raise I
,,,Raises an ally from the dead.,Raises an ally from the dead.,Raises an ally from the dead.
,,,Raise II,Raise II,Raise II
,,,"Raises an ally from the dead and greatly restores
their HP.","Raises an ally from the dead and greatly restores
their HP.","Raises an ally from the dead and greatly restores
their HP."
,,,Poison,Poison,Poison
,,,Blind,Blind,Blind
,,,Confuse,Confuse,Confuse
,,,Silence,Silence,Silence
,,,Sleep,Sleep,Sleep
,,,Paralyze,Paralyze,Paralyze
,,,Paralyzes all enemies.,Paralyzes all enemies.,Paralyzes all enemies.
,,,Weapon Bless,Weapon Bless,Weapon Bless
,,,"Increases an ally’s Attack.
Usable up to 2 times in a row.","Increases an ally’s Attack.
Usable up to 2 times in a row.","Increases an ally’s Attack.
Usable up to 2 times in a row."
,,,Weapon Curse,Weapon Curse,Weapon Curse
,,,"Decreases all enemies’ Attack.
Usable up to 2 times in a row.","Decreases all enemies’ Attack.
Usable up to 2 times in a row.","Decreases all enemies’ Attack.
Usable up to 2 times in a row."
,,,Armor Bless,Armor Bless,Armor Bless
,,,"Increases an ally’s Defense.
Usable up to 2 times in a row.","Increases an ally’s Defense.
Usable up to 2 times in a row.","Increases an ally’s Defense.
Usable up to 2 times in a row."
,,,Armor Curse,Armor Curse,Armor Curse
,,,"Decreases all enemies’ Defense.
Usable up to 2 times in a row.","Decreases all enemies’ Defense.
Usable up to 2 times in a row.","Decreases all enemies’ Defense.
Usable up to 2 times in a row."
,,,Spirit Bless,Spirit Bless,Spirit Bless
,,,"Increases an ally’s M.Attack.
Usable up to 2 times in a row.","Increases an ally’s M.Attack.
Usable up to 2 times in a row.","Increases an ally’s M.Attack.
Usable up to 2 times in a row."
,,,Spirit Curse,Spirit Curse,Spirit Curse
,,,"Decreases all enemies’ M.Attack.
Usable up to 2 times in a row.","Decreases all enemies’ M.Attack.
Usable up to 2 times in a row.","Decreases all enemies’ M.Attack.
Usable up to 2 times in a row."
,,,Divine Bless,Divine Bless,Divine Bless
,,,"Increases an ally’s M.Defense.
Usable up to 2 times in a row.","Increases an ally’s M.Defense.
Usable up to 2 times in a row.","Increases an ally’s M.Defense.
Usable up to 2 times in a row."
,,,Divine Curse,Divine Curse,Divine Curse
,,,"Decreases all enemies’ M.Defense.
Usable up to 2 times in a row.","Decreases all enemies’ M.Defense.
Usable up to 2 times in a row.","Decreases all enemies’ M.Defense.
Usable up to 2 times in a row."
,,,Quicken Movement,Quicken Movement,Quicken Movement
,,,"Increases an ally’s Agility.
Usable up to 2 times in a row.","Increases an ally’s Agility.
Usable up to 2 times in a row.","Increases an ally’s Agility.
Usable up to 2 times in a row."
,,,Slow Movement,Slow Movement,Slow Movement
,,,"Decreases all enemies’ Agility.
Usable up to 2 times in a row.","Decreases all enemies’ Agility.
Usable up to 2 times in a row.","Decreases all enemies’ Agility.
Usable up to 2 times in a row."
,,,Life Drain,Life Drain,Life Drain
,,,Mana Drain,Mana Drain,Mana Drain
,,,Fire I,Fire I,Fire I
,,,Inflicts Fire-type damage on an enemy.,Inflicts Fire-type damage on an enemy.,Inflicts Fire-type damage on an enemy.
,,,Fire II,Fire II,Fire II
,,,Fire III,Fire III,Fire III
,,,Flame I,Flame I,Flame I
,,,Flame II,Flame II,Flame II
,,,Flame III,Flame III,Flame III
,,,Ice I,Ice I,Ice I
,,,Inflicts Ice-type damage on an enemy.,Inflicts Ice-type damage on an enemy.,Inflicts Ice-type damage on an enemy.
,,,Ice II,Ice II,Ice II
,,,Ice III,Ice III,Ice III
,,,Blizzard I,Blizzard I,Blizzard I
,,,Blizzard II,Blizzard II,Blizzard II
,,,Blizzard III,Blizzard III,Blizzard III
,,,Thunder I,Thunder I,Thunder I
,,,Inflicts Thunder-type damage on an enemy.,Inflicts Thunder-type damage on an enemy.,Inflicts Thunder-type damage on an enemy.
,,,Thunder II,Thunder II,Thunder II
,,,Thunder III,Thunder III,Thunder III
,,,Spark I,Spark I,Spark I
,,,Inflicts Thunder-type damage on all enemies.,Inflicts Thunder-type damage on all enemies.,Inflicts Thunder-type damage on all enemies.
,,,Spark II,Spark II,Spark II
,,,Spark III,Spark III,Spark III
,,,Water I,Water I,Water I
,,,Inflicts Water-type damage on an enemy.,Inflicts Water-type damage on an enemy.,Inflicts Water-type damage on an enemy.
,,,Water II,Water II,Water II
,,,Wave I,Wave I,Wave I
,,,Wave II,Wave II,Wave II
,,,Stone I,Stone I,Stone I
,,,Inflicts Earth-type damage on an enemy.,Inflicts Earth-type damage on an enemy.,Inflicts Earth-type damage on an enemy.
,,,Stone II,Stone II,Stone II
,,,Quake I,Quake I,Quake I
,,,Quake II,Quake II,Quake II
,,,Wind I,Wind I,Wind I
,,,Inflicts Wind-type damage on an enemy.,Inflicts Wind-type damage on an enemy.,Inflicts Wind-type damage on an enemy.
,,,Wind II,Wind II,Wind II
,,,Tornado I,Tornado I,Tornado I
,,,Tornado II,Tornado II,Tornado II
,,,Saint I,Saint I,Saint I
,,,Inflicts Light-type damage on an enemy.,Inflicts Light-type damage on an enemy.,Inflicts Light-type damage on an enemy.
,,,Saint II,Saint II,Saint II
,,,Starlight I,Starlight I,Starlight I
,,,Inflicts Light-type damage on all enemies.,Inflicts Light-type damage on all enemies.,Inflicts Light-type damage on all enemies.
,,,Starlight II,Starlight II,Starlight II
,,,Shade I,Shade I,Shade I
,,,Inflicts Darkness-type damage on an enemy.,Inflicts Darkness-type damage on an enemy.,Inflicts Darkness-type damage on an enemy.
,,,Shade II,Shade II,Shade II
,,,Darkness I,Darkness I,Darkness I
,,,Inflicts Darkness-type damage on all enemies.,Inflicts Darkness-type damage on all enemies.,Inflicts Darkness-type damage on all enemies.
,,,Darkness II,Darkness II,Darkness II
,,,Burst I,Burst I,Burst I
,,,Inflicts damage on an enemy regardless of Defense.,Inflicts damage on an enemy regardless of Defense.,Inflicts damage on an enemy regardless of Defense.
,,,Burst II,Burst II,Burst II
,,,Nuke I,Nuke I,Nuke I
,,,Inflicts damage on all enemies regardless of Defense.,Inflicts damage on all enemies regardless of Defense.,Inflicts damage on all enemies regardless of Defense.
,,,Nuke II,Nuke II,Nuke II
,,,-----Swordsman Skills,-----Swordsman Skills,-----Swordsman Skills
,,,Strong Attack,Strong Attack,Strong Attack
,,,Performs a powerful attack on an enemy.,Performs a powerful attack on an enemy.,Performs a powerful attack on an enemy.
,,,Slash,Slash,Slash
,,,Attacks all enemies.,Attacks all enemies.,Attacks all enemies.
,,,%1 mows down the enemy!,%1 mows down the enemy!,%1 mows down the enemy!
,,,Performs an attack on an enemy twice.,Performs an attack on an enemy twice.,Performs an attack on an enemy twice.
,,,%1 dual attacks!,%1 dual attacks!,%1 dual attacks!
,,,Willpower,Willpower,Willpower
,,,"Rouses the user’s fighting spirit and increases
Attack. Usable up to 2 times in a row.","Rouses the user’s fighting spirit and increases
Attack. Usable up to 2 times in a row.","Rouses the user’s fighting spirit and increases
Attack. Usable up to 2 times in a row."
,,,First Aid,First Aid,First Aid
,,,%1 performs %2!,%1 performs %2!,%1 performs %2!
,,,Maiden’s Stance,Maiden’s Stance,Maiden’s Stance
,,,Performs a super powerful attack on an enemy.,Performs a super powerful attack on an enemy.,Performs a super powerful attack on an enemy.
,,,Spin Crash,Spin Crash,Spin Crash
,,,Performs a powerful attack on all enemies.,Performs a powerful attack on all enemies.,Performs a powerful attack on all enemies.
,,,-----Priest & Sorcerer Skills,-----Priest & Sorcerer Skills,-----Priest & Sorcerer Skills
,,,Magic Barrier,Magic Barrier,Magic Barrier
,,,"Increases all allies’ Defense and M.Defense.
Usable up to 2 times in a row.","Increases all allies’ Defense and M.Defense.
Usable up to 2 times in a row.","Increases all allies’ Defense and M.Defense.
Usable up to 2 times in a row."
,,,%1 offered a prayer!,%1 offered a prayer!,%1 offered a prayer!
,,,Spell Enhancement,Spell Enhancement,Spell Enhancement
,,,Greatly increases the user’s M.Attack for 5 turns.,Greatly increases the user’s M.Attack for 5 turns.,Greatly increases the user’s M.Attack for 5 turns.
,,,Yell,Yell,Yell
,,,"Rouses all allies’ fighting spirit and increases
Attack. Usable up to 2 times in a row.","Rouses all allies’ fighting spirit and increases
Attack. Usable up to 2 times in a row.","Rouses all allies’ fighting spirit and increases
Attack. Usable up to 2 times in a row."
,,,%1 gave encouragement!,%1 gave encouragement!,%1 gave encouragement!
,,,Meteor,Meteor,Meteor
,,,Fire Weapon,Fire Weapon,Fire Weapon
,,,Bestows Fire-type for 5 turns.,Bestows Fire-type for 5 turns.,Bestows Fire-type for 5 turns.
,,,Ice Weapon,Ice Weapon,Ice Weapon
,,,Bestows Ice-type for 5 turns.,Bestows Ice-type for 5 turns.,Bestows Ice-type for 5 turns.
,,,Thunder Weapon,Thunder Weapon,Thunder Weapon
,,,Bestows Thunder-type for 5 turns.,Bestows Thunder-type for 5 turns.,Bestows Thunder-type for 5 turns.
,,,Magic Mirror,Magic Mirror,Magic Mirror
,,,Reflects M.Attack aimed at the user for 5 turns.,Reflects M.Attack aimed at the user for 5 turns.,Reflects M.Attack aimed at the user for 5 turns.
,,,-----Knight Skills,-----Knight Skills,-----Knight Skills
,,,Protect,Protect,Protect
,,,Automatically protects allies with low HP for 1 turn.,Automatically protects allies with low HP for 1 turn.,Automatically protects allies with low HP for 1 turn.
,,,%1 protects team.,%1 protects team.,%1 protects team.
,,,Falcon Thrust,Falcon Thrust,Falcon Thrust
,,,"Performs an attack on an enemy faster than anyone
else.","Performs an attack on an enemy faster than anyone
else.","Performs an attack on an enemy faster than anyone
else."
,,,Double Thrust,Double Thrust,Double Thrust
,,,Armor Piercer,Armor Piercer,Armor Piercer
,,,Battle Cry,Battle Cry,Battle Cry
,,,%1 made a battle cry!,%1 made a battle cry!,%1 made a battle cry!
,,,Windmill,Windmill,Windmill
,,,Clear Mind,Clear Mind,Clear Mind
,,,Slightly increases the user’s TP.,Slightly increases the user’s TP.,Slightly increases the user’s TP.
,,,%1 cleared their mind!,%1 cleared their mind!,%1 cleared their mind!
,,,Wild Thrust,Wild Thrust,Wild Thrust
,,,Randomly performs 4 attacks on 4 enemies.,Randomly performs 4 attacks on 4 enemies.,Randomly performs 4 attacks on 4 enemies.
,,,-----Bandit Skills,-----Bandit Skills,-----Bandit Skills
,,,Warm-up,Warm-up,Warm-up
,,,Increases the user’s Agility.,Increases the user’s Agility.,Increases the user’s Agility.
,,,%1 started %2!,%1 started %2!,%1 started %2!
,,,Flare,Flare,Flare
,,,Watchful Eye,Watchful Eye,Watchful Eye
,,,"Increases items and money gained from battle for
a while.","Increases items and money gained from battle for
a while.","Increases items and money gained from battle for
a while."
,,,%1 is observing their surroundings carefully.,%1 is observing their surroundings carefully.,%1 is observing their surroundings carefully.
,,,Wind Call,Wind Call,Wind Call
,,,Hide,Hide,Hide
,,,Makes the user harder to target.,Makes the user harder to target.,Makes the user harder to target.
,,,%1 hid.,%1 hid.,%1 hid.
,,,-----Martial Artist Skills,-----Martial Artist Skills,-----Martial Artist Skills
,,,Sweep,Sweep,Sweep
,,,Inflicts damage and causes all enemies to lose balance.,Inflicts damage and causes all enemies to lose balance.,Inflicts damage and causes all enemies to lose balance.
,,,Qigong,Qigong,Qigong
,,,Cures the user from being weakened.,Cures the user from being weakened.,Cures the user from being weakened.
,,,Roundhouse Kick,Roundhouse Kick,Roundhouse Kick
,,,Inflicts huge damage on all enemies.,Inflicts huge damage on all enemies.,Inflicts huge damage on all enemies.
,,,Tiger Dance,Tiger Dance,Tiger Dance
,,,-----Hunter Skills,-----Hunter Skills,-----Hunter Skills
,,,Point Shot,Point Shot,Point Shot
,,,Decreases an enemy’s Attack and Defense.,Decreases an enemy’s Attack and Defense.,Decreases an enemy’s Attack and Defense.
,,,Stun Shot,Stun Shot,Stun Shot
,,,"Shoots at the footing of all enemies and causes them
to lose balance.","Shoots at the footing of all enemies and causes them
to lose balance.","Shoots at the footing of all enemies and causes them
to lose balance."
,,,Team Shot,Team Shot,Team Shot
,,,Inflicts damage on an enemy 5 times.,Inflicts damage on an enemy 5 times.,Inflicts damage on an enemy 5 times.
,,,Rain Shot,Rain Shot,Rain Shot
,,,Inflicts damage on all enemies 2 times.,Inflicts damage on all enemies 2 times.,Inflicts damage on all enemies 2 times.
,,,"
[Items]
","
[Items]
","
[Items]
"
,,,"Below are spaces for when you would like to display
items above the recovery items.","Below are spaces for when you would like to display
items above the recovery items.","Below are spaces for when you would like to display
items above the recovery items."
,,,-----Recovery Items,-----Recovery Items,-----Recovery Items
,,,Potion,Potion,Potion
,,,Restores HP by 500 points.,Restores HP by 500 points.,Restores HP by 500 points.
,,,Super Potion,Super Potion,Super Potion
,,,Restores HP by 1500 points.,Restores HP by 1500 points.,Restores HP by 1500 points.
,,,Full Potion,Full Potion,Full Potion
,,,Completely restores HP.,Completely restores HP.,Completely restores HP.
,,,Magic Water,Magic Water,Magic Water
,,,Restores MP by 300 points.,Restores MP by 300 points.,Restores MP by 300 points.
,,,Stimulant,Stimulant,Stimulant
,,,Raises the subject from the dead. (Restores HP by half.),Raises the subject from the dead. (Restores HP by half.),Raises the subject from the dead. (Restores HP by half.)
,,,Dispel Herb,Dispel Herb,Dispel Herb
,,,"Removes all status ailments.
Cannot revive a someone from being dead.","Removes all status ailments.
Cannot revive a someone from being dead.","Removes all status ailments.
Cannot revive a someone from being dead."
,,,Antidote,Antidote,Antidote
,,,Cures Poison or Paralysis states.,Cures Poison or Paralysis states.,Cures Poison or Paralysis states.
,,,Miracle Drop,Miracle Drop,Miracle Drop
,,,Restores HP and MP by half.,Restores HP and MP by half.,Restores HP and MP by half.
,,,Elixir,Elixir,Elixir
,,,Completely restores HP and MP.,Completely restores HP and MP.,Completely restores HP and MP.
,,,-----Specialty Items,-----Specialty Items,-----Specialty Items
,,,Encounter Decreaser,Encounter Decreaser,Encounter Decreaser
,,,"Halves the number of enemies you will encounter
for a while.","Halves the number of enemies you will encounter
for a while.","Halves the number of enemies you will encounter
for a while."
,,,Drop Increaser,Drop Increaser,Drop Increaser
,,,-----Enhancement Items,-----Enhancement Items,-----Enhancement Items
,,,HP Increase,HP Increase,HP Increase
,,,Increases max HP by 50 points.,Increases max HP by 50 points.,Increases max HP by 50 points.
,,,MP Increase,MP Increase,MP Increase
,,,Increases max MP by 10 points.,Increases max MP by 10 points.,Increases max MP by 10 points.
,,,Attack Increase,Attack Increase,Attack Increase
,,,Increases Attack by 3 points.,Increases Attack by 3 points.,Increases Attack by 3 points.
,,,Defense Increase,Defense Increase,Defense Increase
,,,Increases Defense by 3 points.,Increases Defense by 3 points.,Increases Defense by 3 points.
,,,Magic Increase,Magic Increase,Magic Increase
,,,Increases M.Attack by 3 points.,Increases M.Attack by 3 points.,Increases M.Attack by 3 points.
,,,Resistance Increase,Resistance Increase,Resistance Increase
,,,Increases M.Defense by 3 points.,Increases M.Defense by 3 points.,Increases M.Defense by 3 points.
,,,Agility Increase,Agility Increase,Agility Increase
,,,Increases Agility by 3 points.,Increases Agility by 3 points.,Increases Agility by 3 points.
,,,Luck Increase,Luck Increase,Luck Increase
,,,Increases Luck by 3 points.,Increases Luck by 3 points.,Increases Luck by 3 points.
,,,"
[Weapons]
","
[Weapons]
","
[Weapons]
"
,,,Short Sword,Short Sword,Short Sword
,,,[Sword] A light and easy-to-wield short-bladed sword.,[Sword] A light and easy-to-wield short-bladed sword.,[Sword] A light and easy-to-wield short-bladed sword.
,,,Long Sword,Long Sword,Long Sword
,,,[Sword] A long battle sword boasting a sharp cut.,[Sword] A long battle sword boasting a sharp cut.,[Sword] A long battle sword boasting a sharp cut.
,,,Falchion,Falchion,Falchion
,,,[Sword] A wide sword with a curved blade.,[Sword] A wide sword with a curved blade.,[Sword] A wide sword with a curved blade.
,,,Mithril Sword,Mithril Sword,Mithril Sword
,,,[Sword] A long sword forged with mithril.,[Sword] A long sword forged with mithril.,[Sword] A long sword forged with mithril.
,,,Dragon Blade,Dragon Blade,Dragon Blade
,,,[Sword] A sword forged from the fangs of a dragon.,[Sword] A sword forged from the fangs of a dragon.,[Sword] A sword forged from the fangs of a dragon.
,,,Wooden Staff,Wooden Staff,Wooden Staff
,,,[Staff] An inexpensive and widely-used staff.,[Staff] An inexpensive and widely-used staff.,[Staff] An inexpensive and widely-used staff.
,,,Magic Wand,Magic Wand,Magic Wand
,,,"[Staff] A wand that slightly increases its wielder’s
magical powers.","[Staff] A wand that slightly increases its wielder’s
magical powers.","[Staff] A wand that slightly increases its wielder’s
magical powers."
,,,Force Wand,Force Wand,Force Wand
,,,"[Staff] A silver wand that increases its wielder’s
magical powers.","[Staff] A silver wand that increases its wielder’s
magical powers.","[Staff] A silver wand that increases its wielder’s
magical powers."
,,,Mithril Rod,Mithril Rod,Mithril Rod
,,,"[Staff] A mithril rod that increases its wielder’s
magical powers.","[Staff] A mithril rod that increases its wielder’s
magical powers.","[Staff] A mithril rod that increases its wielder’s
magical powers."
,,,Dragon Staff,Dragon Staff,Dragon Staff
,,,"[Staff] A dragon staff that increases its wielder’s
magical powers.","[Staff] A dragon staff that increases its wielder’s
magical powers.","[Staff] A dragon staff that increases its wielder’s
magical powers."
,,,Stone Flail,Stone Flail,Stone Flail
,,,"[Flail] A flail with a stone head attached to its
handle with a chain.","[Flail] A flail with a stone head attached to its
handle with a chain.","[Flail] A flail with a stone head attached to its
handle with a chain."
,,,Bronze Flail,Bronze Flail,Bronze Flail
,,,"[Flail] A flail with a bronze head attached to its
handle with a chain.","[Flail] A flail with a bronze head attached to its
handle with a chain.","[Flail] A flail with a bronze head attached to its
handle with a chain."
,,,Morning Star,Morning Star,Morning Star
,,,[Flail] A flail that has been strengthened with steel.,[Flail] A flail that has been strengthened with steel.,[Flail] A flail that has been strengthened with steel.
,,,Mithril Flail,Mithril Flail,Mithril Flail
,,,[Flail] A flail that has been strengthened with mithril.,[Flail] A flail that has been strengthened with mithril.,[Flail] A flail that has been strengthened with mithril.
,,,Dragon Flail,Dragon Flail,Dragon Flail
,,,[Flail] A flail that has been strengthened using fangs of a dragon.,[Flail] A flail that has been strengthened using fangs of a dragon.,[Flail] A flail that has been strengthened using fangs of a dragon.
,,,Hand Axe,Hand Axe,Hand Axe
,,,[Axe] A small axe used for logging trees.,[Axe] A small axe used for logging trees.,[Axe] A small axe used for logging trees.
,,,Battle Axe,Battle Axe,Battle Axe
,,,[Axe] A double-edged axe made for battle.,[Axe] A double-edged axe made for battle.,[Axe] A double-edged axe made for battle.
,,,Bardiche,Bardiche,Bardiche
,,,[Axe] A battle axe with a crescent-shaped blade.,[Axe] A battle axe with a crescent-shaped blade.,[Axe] A battle axe with a crescent-shaped blade.
,,,Mithril Axe,Mithril Axe,Mithril Axe
,,,[Axe] A battle axe forged with mithril.,[Axe] A battle axe forged with mithril.,[Axe] A battle axe forged with mithril.
,,,Dragon Axe,Dragon Axe,Dragon Axe
,,,[Axe] A battle axe forged from the fangs of a dragon.,[Axe] A battle axe forged from the fangs of a dragon.,[Axe] A battle axe forged from the fangs of a dragon.
,,,Short Spear,Short Spear,Short Spear
,,,[Spear] A short spear specialized for thrusting.,[Spear] A short spear specialized for thrusting.,[Spear] A short spear specialized for thrusting.
,,,Long Spear,Long Spear,Long Spear
,,,[Spear] A spear with the longest handle possible.,[Spear] A spear with the longest handle possible.,[Spear] A spear with the longest handle possible.
,,,Halberd,Halberd,Halberd
,,,[Spear] A spear with an axe-head at its tip.,[Spear] A spear with an axe-head at its tip.,[Spear] A spear with an axe-head at its tip.
,,,Mithril Spear,Mithril Spear,Mithril Spear
,,,[Spear] A spear forged with mithril.,[Spear] A spear forged with mithril.,[Spear] A spear forged with mithril.
,,,Dragon Spear,Dragon Spear,Dragon Spear
,,,[Spear] A spear forged from the fangs of a dragon.,[Spear] A spear forged from the fangs of a dragon.,[Spear] A spear forged from the fangs of a dragon.
,,,Cestus,Cestus,Cestus
,,,"[Glove] A battle glove with spikes attached to its
knuckles.","[Glove] A battle glove with spikes attached to its
knuckles.","[Glove] A battle glove with spikes attached to its
knuckles."
,,,Bagh Naka,Bagh Naka,Bagh Naka
,,,[Claw] A combat weapon with 4 short claws attached.,[Claw] A combat weapon with 4 short claws attached.,[Claw] A combat weapon with 4 short claws attached.
,,,Iron Claw,Iron Claw,Iron Claw
,,,[Claw] A combat weapon with iron talons attached.,[Claw] A combat weapon with iron talons attached.,[Claw] A combat weapon with iron talons attached.
,,,Mithril Claw,Mithril Claw,Mithril Claw
,,,[Claw] A combat weapon with mithril talons attached.,[Claw] A combat weapon with mithril talons attached.,[Claw] A combat weapon with mithril talons attached.
,,,Dragon Claw,Dragon Claw,Dragon Claw
,,,[Claw] A combat weapon with dragon talons attached.,[Claw] A combat weapon with dragon talons attached.,[Claw] A combat weapon with dragon talons attached.
,,,Short Bow,Short Bow,Short Bow
,,,[Bow] A short bow made for hunting.,[Bow] A short bow made for hunting.,[Bow] A short bow made for hunting.
,,,Long Bow,Long Bow,Long Bow
,,,[Bow] A long bow for battle with superior power.,[Bow] A long bow for battle with superior power.,[Bow] A long bow for battle with superior power.
,,,Crossbow,Crossbow,Crossbow
,,,"[Bow] A crossbow that shoots arrows with powerful
springs.","[Bow] A crossbow that shoots arrows with powerful
springs.","[Bow] A crossbow that shoots arrows with powerful
springs."
,,,Mithril Bow,Mithril Bow,Mithril Bow
,,,"[Bow] A crossbow that shoots mithril arrows with
powerful springs.","[Bow] A crossbow that shoots mithril arrows with
powerful springs.","[Bow] A crossbow that shoots mithril arrows with
powerful springs."
,,,Dragon Bow,Dragon Bow,Dragon Bow
,,,"[Bow] A long bow for battle made with dragon’s
whiskers.","[Bow] A long bow for battle made with dragon’s
whiskers.","[Bow] A long bow for battle made with dragon’s
whiskers."
,,,Knife,Knife,Knife
,,,[Dagger] A knife used for day-to-day tasks.,[Dagger] A knife used for day-to-day tasks.,[Dagger] A knife used for day-to-day tasks.
,,,Daggar,Daggar,Daggar
,,,[Dagger] A short blade used in close combat.,[Dagger] A short blade used in close combat.,[Dagger] A short blade used in close combat.
,,,Machete,Machete,Machete
,,,"[Dagger] A dagger with a thicker, sturdier blade.","[Dagger] A dagger with a thicker, sturdier blade.","[Dagger] A dagger with a thicker, sturdier blade."
,,,Mithril Daggar,Mithril Daggar,Mithril Daggar
,,,[Dagger] A dagger forged with mithril.,[Dagger] A dagger forged with mithril.,[Dagger] A dagger forged with mithril.
,,,Dragon Daggar,Dragon Daggar,Dragon Daggar
,,,[Dagger] A dagger forged from the fangs of a dragon.,[Dagger] A dagger forged from the fangs of a dragon.,[Dagger] A dagger forged from the fangs of a dragon.
,,,"
[Armors]
","
[Armors]
","
[Armors]
"
,,,-----Armors,-----Armors,-----Armors
,,,Linen Clothing,Linen Clothing,Linen Clothing
,,,"[General Equipment] Linen clothing with high
breathability.","[General Equipment] Linen clothing with high
breathability.","[General Equipment] Linen clothing with high
breathability."
,,,Leather Vest,Leather Vest,Leather Vest
,,,[General Equipment] A vest made of tanned hide.,[General Equipment] A vest made of tanned hide.,[General Equipment] A vest made of tanned hide.
,,,Adventurer’s Clothing,Adventurer’s Clothing,Adventurer’s Clothing
,,,"[General Equipment] Durable clothing that can
withstand rough travels.","[General Equipment] Durable clothing that can
withstand rough travels.","[General Equipment] Durable clothing that can
withstand rough travels."
,,,Hard Leather,Hard Leather,Hard Leather
,,,"[General Equipment] A vest made of leather
hardened with glue.","[General Equipment] A vest made of leather
hardened with glue.","[General Equipment] A vest made of leather
hardened with glue."
,,,Brigandine,Brigandine,Brigandine
,,,"[General Equipment] Tanned hide clothing reinforced
with steel plates.","[General Equipment] Tanned hide clothing reinforced
with steel plates.","[General Equipment] Tanned hide clothing reinforced
with steel plates."
,,,Cloth Armor,Cloth Armor,Cloth Armor
,,,[Light Equipment] Armor made of tough cloth.,[Light Equipment] Armor made of tough cloth.,[Light Equipment] Armor made of tough cloth.
,,,Leather Armor,Leather Armor,Leather Armor
,,,[Light Equipment] Armor made of layered hide.,[Light Equipment] Armor made of layered hide.,[Light Equipment] Armor made of layered hide.
,,,Bronze Breastplate,Bronze Breastplate,Bronze Breastplate
,,,[Light Equipment] A breastplate made of bronze.,[Light Equipment] A breastplate made of bronze.,[Light Equipment] A breastplate made of bronze.
,,,Iron Breastplate,Iron Breastplate,Iron Breastplate
,,,[Light Equipment] A breastplate made of iron steel.,[Light Equipment] A breastplate made of iron steel.,[Light Equipment] A breastplate made of iron steel.
,,,Mithril Breastplate,Mithril Breastplate,Mithril Breastplate
,,,[Light Equipment] A breastplate made of mithril.,[Light Equipment] A breastplate made of mithril.,[Light Equipment] A breastplate made of mithril.
,,,Dragon Breastplate,Dragon Breastplate,Dragon Breastplate
,,,[Light Equipment] A breastplate made of dragon scales.,[Light Equipment] A breastplate made of dragon scales.,[Light Equipment] A breastplate made of dragon scales.
,,,Bronze Armor,Bronze Armor,Bronze Armor
,,,[Heavy Equipment] Armor made of bronze.,[Heavy Equipment] Armor made of bronze.,[Heavy Equipment] Armor made of bronze.
,,,Iron Armor,Iron Armor,Iron Armor
,,,[Heavy Equipment] Armor made of iron steel.,[Heavy Equipment] Armor made of iron steel.,[Heavy Equipment] Armor made of iron steel.
,,,Mithril Armor,Mithril Armor,Mithril Armor
,,,[Heavy Equipment] Armor made of mithril.,[Heavy Equipment] Armor made of mithril.,[Heavy Equipment] Armor made of mithril.
,,,Dragon Armor,Dragon Armor,Dragon Armor
,,,[Heavy Equipment] Armor made of dragon scales.,[Heavy Equipment] Armor made of dragon scales.,[Heavy Equipment] Armor made of dragon scales.
,,,Cotton Robe,Cotton Robe,Cotton Robe
,,,"[Magic Equipment] A basic, widely prevalent robe.","[Magic Equipment] A basic, widely prevalent robe.","[Magic Equipment] A basic, widely prevalent robe."
,,,Silk Cloak,Silk Cloak,Silk Cloak
,,,[Magic Equipment] A high-quality cloak made of silk.,[Magic Equipment] A high-quality cloak made of silk.,[Magic Equipment] A high-quality cloak made of silk.
,,,Tactician’s Robe,Tactician’s Robe,Tactician’s Robe
